sample_id,ena_run
AR0100-C,ERR323727
AR0100-C,ERR327193
AR0100-C,ERR327205
AB0085-Cx,ERR495554
AB0085-Cx,ERR501731
AB0085-Cx,ERR501743
AB0086-Cx,ERR491321
AB0086-Cx,ERR495433
AB0086-Cx,ERR495445
AB0087-C,ERR328834
AB0087-C,ERR332017
AB0087-C,ERR332029
AB0088-C,ERR328830
AB0088-C,ERR332001
AB0088-C,ERR332013
AB0089-Cx,ERR495787
AB0089-Cx,ERR502048
AB0089-Cx,ERR502132
AB0090-C,ERR331863
AB0090-C,ERR331851
AB0090-C,ERR327309
AB0091-C,ERR317227
AB0091-C,ERR317395
AB0091-C,ERR317407
AB0092-C,ERR328862
AB0092-C,ERR332069
AB0092-C,ERR332081
AB0094-Cx,ERR501836
AB0094-Cx,ERR501824
AB0094-Cx,ERR495599
AB0095-Cx,ERR495582
AB0095-Cx,ERR501795
AB0095-Cx,ERR501807
AB0096-C,ERR328831
AB0096-C,ERR332002
AB0096-C,ERR332014
AB0097-Cx,ERR502120
AB0097-Cx,ERR495775
AB0097-Cx,ERR502036
AB0098-Cx,ERR495567
AB0098-Cx,ERR501768
AB0098-Cx,ERR501780
AB0099-Cx,ERR495560
AB0099-Cx,ERR501749
AB0099-Cx,ERR501761
AB0100-C,ERR328835
AB0100-C,ERR332018
AB0100-C,ERR332030
AB0101-C,ERR328828
AB0101-C,ERR331999
AB0101-C,ERR332011
AB0103-C,ERR332010
AB0103-C,ERR331998
AB0103-C,ERR328827
AB0104-Cx,ERR495564
AB0104-Cx,ERR501753
AB0104-Cx,ERR501765
AB0109-C,ERR328788
AB0109-C,ERR331923
AB0109-C,ERR331935
AB0110-C,ERR317219
AB0110-C,ERR317387
AB0110-C,ERR317399
AB0111-C,ERR328852
AB0111-C,ERR332047
AB0111-C,ERR332059
AB0112-C,ERR332066
AB0112-C,ERR332078
AB0112-C,ERR328859
AB0113-C,ERR332012
AB0113-C,ERR332000
AB0113-C,ERR328829
AB0114-C,ERR317221
AB0114-C,ERR317389
AB0114-C,ERR317401
AB0115-C,ERR347011
AB0115-C,ERR347023
AB0115-C,ERR352124
AB0116-C,ERR317233
AB0116-C,ERR317413
AB0116-C,ERR317425
AB0117-C,ERR317231
AB0117-C,ERR317411
AB0117-C,ERR317423
AB0118-C,ERR317418
AB0118-C,ERR317430
AB0118-C,ERR317238
AB0119-C,ERR317232
AB0119-C,ERR317412
AB0119-C,ERR317424
AB0121-C,ERR317241
AB0121-C,ERR317421
AB0121-C,ERR317433
AB0122-C,ERR332072
AB0122-C,ERR328865
AB0122-C,ERR332084
AB0123-C,ERR317236
AB0123-C,ERR317416
AB0123-C,ERR317428
AB0124-C,ERR317392
AB0124-C,ERR317404
AB0124-C,ERR317224
AB0126-Cx,ERR502043
AB0126-Cx,ERR502127
AB0126-Cx,ERR495782
AB0127-C,ERR343465
AB0127-C,ERR343633
AB0127-C,ERR343645
AB0128-C,ERR317243
AB0128-C,ERR317435
AB0128-C,ERR317447
AB0129-C,ERR332082
AB0129-C,ERR332070
AB0129-C,ERR328863
AB0130-Cx,ERR495802
AB0130-Cx,ERR502147
AB0130-Cx,ERR525247
AB0131-Cx,ERR495573
AB0131-Cx,ERR501774
AB0131-Cx,ERR501786
AB0132-C,ERR328459
AB0132-C,ERR328447
AB0132-C,ERR320060
AB0133-C,ERR328866
AB0133-C,ERR332073
AB0133-C,ERR332085
AB0134-C,ERR317248
AB0134-C,ERR317440
AB0134-C,ERR317452
AB0135-C,ERR328846
AB0135-C,ERR332041
AB0135-C,ERR332053
AB0136-Cx,ERR501813
AB0136-Cx,ERR495588
AB0136-Cx,ERR501801
AB0137-Cx,ERR501818
AB0137-Cx,ERR501830
AB0137-Cx,ERR495593
AB0138-Cx,ERR501781
AB0138-Cx,ERR495568
AB0138-Cx,ERR501769
AB0139-C,ERR328814
AB0139-C,ERR331973
AB0139-C,ERR331985
AB0140-C,ERR328826
AB0140-C,ERR331997
AB0140-C,ERR332009
AB0142-C,ERR328805
AB0142-C,ERR331952
AB0142-C,ERR331964
AB0143-Cx,ERR495778
AB0143-Cx,ERR502039
AB0143-Cx,ERR502123
AB0144-C,ERR332044
AB0144-C,ERR332056
AB0144-C,ERR328849
AB0145-C,ERR328815
AB0145-C,ERR331974
AB0145-C,ERR331986
AB0146-Cx,ERR495590
AB0146-Cx,ERR501803
AB0146-Cx,ERR501815
AB0147-C,ERR331900
AB0147-C,ERR328777
AB0147-C,ERR331912
AB0148-Cx,ERR495578
AB0148-Cx,ERR501779
AB0148-Cx,ERR501791
AB0150-Cx,ERR502049
AB0150-Cx,ERR502133
AB0150-Cx,ERR495788
AB0151-Cx,ERR502128
AB0151-Cx,ERR502044
AB0151-Cx,ERR495783
AB0153-C,ERR343476
AB0153-C,ERR343656
AB0153-C,ERR343668
AB0155-Cx,ERR495792
AB0155-Cx,ERR502053
AB0155-Cx,ERR502137
AB0157-Cx,ERR495779
AB0157-Cx,ERR502040
AB0157-Cx,ERR502124
AB0158-Cx,ERR495773
AB0158-Cx,ERR502034
AB0158-Cx,ERR502118
AB0159-C,ERR343632
AB0159-C,ERR343644
AB0159-C,ERR343464
AB0160-Cx,ERR495799
AB0160-Cx,ERR502144
AB0160-Cx,ERR525244
AB0161-C,ERR343475
AB0161-C,ERR343655
AB0161-C,ERR343667
AB0162-C,ERR347022
AB0162-C,ERR347010
AB0162-C,ERR352123
AB0164-C,ERR317250
AB0164-C,ERR317442
AB0164-C,ERR317454
AB0165-C,ERR346986
AB0165-C,ERR346998
AB0165-C,ERR343499
AB0166-C,ERR317446
AB0166-C,ERR317434
AB0166-C,ERR317242
AB0167-C,ERR343487
AB0167-C,ERR346962
AB0167-C,ERR346974
AB0169-C,ERR317237
AB0169-C,ERR317417
AB0169-C,ERR317429
AB0170-C,ERR317244
AB0170-C,ERR317436
AB0170-C,ERR317448
AB0171-Cx,ERR495804
AB0171-Cx,ERR502149
AB0171-Cx,ERR525249
AB0172-Cx,ERR495427
AB0172-Cx,ERR495439
AB0172-Cx,ERR491315
AB0173-C,ERR343452
AB0173-C,ERR343608
AB0173-C,ERR343620
AB0174-C,ERR317247
AB0174-C,ERR317439
AB0174-C,ERR317451
AB0175-Cx,ERR501802
AB0175-Cx,ERR495589
AB0175-Cx,ERR501814
AB0176-Cx,ERR495595
AB0176-Cx,ERR501820
AB0176-Cx,ERR501832
AB0177-C,ERR343634
AB0177-C,ERR343646
AB0177-C,ERR343466
AB0178-C,ERR317456
AB0178-C,ERR317444
AB0178-C,ERR317252
AB0179-Cx,ERR495575
AB0179-Cx,ERR501776
AB0179-Cx,ERR501788
AB0180-Cx,ERR495583
AB0180-Cx,ERR501796
AB0180-Cx,ERR501808
AB0181-C,ERR319985
AB0181-C,ERR327337
AB0181-C,ERR327349
AB0182-C,ERR327308
AB0182-C,ERR331850
AB0182-C,ERR331862
AB0183-C,ERR331906
AB0183-C,ERR331918
AB0183-C,ERR328783
AB0184-C,ERR327285
AB0184-C,ERR331803
AB0184-C,ERR331815
AB0185-Cx,ERR491292
AB0185-Cx,ERR495380
AB0185-Cx,ERR495392
AB0186-C,ERR331902
AB0186-C,ERR328779
AB0186-C,ERR331914
AB0187-C,ERR327313
AB0187-C,ERR331855
AB0187-C,ERR331867
AB0188-C,ERR331876
AB0188-C,ERR331888
AB0188-C,ERR327322
AB0189-C,ERR328421
AB0189-C,ERR328433
AB0189-C,ERR320046
AB0190-C,ERR327396
AB0190-C,ERR327384
AB0190-C,ERR320008
AB0191-Cx,ERR495602
AB0191-Cx,ERR501827
AB0191-Cx,ERR501839
AB0192-C,ERR328799
AB0192-C,ERR331946
AB0192-C,ERR331958
AB0193-C,ERR328800
AB0193-C,ERR331947
AB0193-C,ERR331959
AB0194-C,ERR320058
AB0194-C,ERR328445
AB0194-C,ERR328457
AB0196-C,ERR332040
AB0196-C,ERR332052
AB0196-C,ERR328845
AB0197-C,ERR327252
AB0197-C,ERR331734
AB0197-C,ERR331746
AB0198-C,ERR328794
AB0198-C,ERR331929
AB0198-C,ERR331941
AB0199-C,ERR332025
AB0199-C,ERR328842
AB0199-C,ERR332037
AB0200-C,ERR328837
AB0200-C,ERR332020
AB0200-C,ERR332032
AB0201-Cx,ERR501792
AB0201-Cx,ERR501804
AB0201-Cx,ERR495579
AB0202-Cx,ERR501810
AB0202-Cx,ERR501798
AB0202-Cx,ERR495585
AB0203-C,ERR328861
AB0203-C,ERR332068
AB0203-C,ERR332080
AB0204-C,ERR328791
AB0204-C,ERR331926
AB0204-C,ERR331938
AB0205-C,ERR319996
AB0205-C,ERR327360
AB0205-C,ERR327372
AB0206-C,ERR319997
AB0206-C,ERR327361
AB0206-C,ERR327373
AB0207-C,ERR328396
AB0207-C,ERR328408
AB0207-C,ERR320019
AB0208-C,ERR320024
AB0208-C,ERR328401
AB0208-C,ERR328413
AB0209-C,ERR327251
AB0209-C,ERR331733
AB0209-C,ERR331745
AB0210-C,ERR328468
AB0210-C,ERR320069
AB0210-C,ERR328480
AB0211-C,ERR320043
AB0211-C,ERR328418
AB0211-C,ERR328430
AB0212-C,ERR331714
AB0212-C,ERR331726
AB0212-C,ERR327244
AB0213-C,ERR327385
AB0213-C,ERR327397
AB0213-C,ERR320009
AB0214-C,ERR320068
AB0214-C,ERR328467
AB0214-C,ERR328479
AB0215-C,ERR320020
AB0215-C,ERR328397
AB0215-C,ERR328409
AB0216-C,ERR320034
AB0216-C,ERR343568
AB0216-C,ERR343580
AB0217-C,ERR320016
AB0217-C,ERR328393
AB0217-C,ERR328405
AB0218-C,ERR328470
AB0218-C,ERR328482
AB0218-C,ERR320071
AB0219-Cx,ERR491286
AB0219-Cx,ERR495362
AB0219-Cx,ERR495374
AB0221-C,ERR320017
AB0221-C,ERR328394
AB0221-C,ERR328406
AB0222-C,ERR331978
AB0222-C,ERR328819
AB0222-C,ERR331990
AB0223-C,ERR327241
AB0223-C,ERR331711
AB0223-C,ERR331723
AB0224-C,ERR327362
AB0224-C,ERR327374
AB0224-C,ERR319998
AB0225-C,ERR327375
AB0225-C,ERR327363
AB0225-C,ERR319999
AB0226-C,ERR320000
AB0226-C,ERR327364
AB0226-C,ERR327376
AB0227-Cx,ERR495559
AB0227-Cx,ERR501748
AB0227-Cx,ERR501760
AB0228-C,ERR317223
AB0228-C,ERR317391
AB0228-C,ERR317403
AB0229-C,ERR327325
AB0229-C,ERR331879
AB0229-C,ERR331891
AB0230-Cx,ERR502064
AB0230-Cx,ERR502160
AB0230-Cx,ERR495815
AB0231-C,ERR327106
AB0231-C,ERR338384
AB0231-C,ERR338396
AB0232-Cx,ERR495807
AB0232-Cx,ERR502056
AB0232-Cx,ERR502152
AB0233-C,ERR320185
AB0233-C,ERR320173
AB0233-C,ERR327093
AB0234-C,ERR327104
AB0234-C,ERR338382
AB0234-C,ERR338394
AB0235-C,ERR327216
AB0235-C,ERR327228
AB0235-C,ERR323738
AB0236-Cx,ERR502062
AB0236-Cx,ERR502158
AB0236-Cx,ERR495813
AB0237-C,ERR338380
AB0237-C,ERR338392
AB0237-C,ERR327102
AB0238-C,ERR323751
AB0238-C,ERR327001
AB0238-C,ERR327013
AB0239-C,ERR323736
AB0239-C,ERR327214
AB0239-C,ERR327226
AB0240-C,ERR323731
AB0240-C,ERR327209
AB0240-C,ERR327221
AB0241-C,ERR323735
AB0241-C,ERR327213
AB0241-C,ERR327225
AB0242-C,ERR328535
AB0242-C,ERR328547
AB0242-C,ERR323818
AB0243-C,ERR323749
AB0243-C,ERR326999
AB0243-C,ERR327011
AB0244-C,ERR323817
AB0244-C,ERR328534
AB0244-C,ERR328546
AB0246-C,ERR328533
AB0246-C,ERR323816
AB0246-C,ERR328545
AB0247-C,ERR327107
AB0247-C,ERR338385
AB0247-C,ERR338397
AB0248-C,ERR347025
AB0248-C,ERR352126
AB0248-C,ERR347013
AB0249-Cx,ERR502067
AB0249-Cx,ERR502163
AB0249-Cx,ERR495818
AB0250-Cx,ERR491343
AB0250-Cx,ERR495479
AB0250-Cx,ERR495491
AB0251-C,ERR320176
AB0251-C,ERR320188
AB0251-C,ERR327096
AB0252-C,ERR338398
AB0252-C,ERR338386
AB0252-C,ERR327108
AB0253-C,ERR327109
AB0253-C,ERR338387
AB0253-C,ERR338399
AB0255-C,ERR343488
AB0255-C,ERR346963
AB0255-C,ERR346975
AB0256-C,ERR343621
AB0256-C,ERR343609
AB0256-C,ERR343453
AB0257-C,ERR323732
AB0257-C,ERR327210
AB0257-C,ERR327222
AB0258-Cx,ERR491345
AB0258-Cx,ERR495481
AB0258-Cx,ERR495493
AB0259-Cx,ERR495812
AB0259-Cx,ERR502061
AB0259-Cx,ERR502157
AB0260-C,ERR338401
AB0260-C,ERR327111
AB0260-C,ERR338389
AB0261-Cx,ERR495683
AB0261-Cx,ERR501920
AB0261-Cx,ERR491199
AB0262-Cx,ERR495489
AB0262-Cx,ERR491341
AB0262-Cx,ERR495477
AB0263-C,ERR323740
AB0263-C,ERR327218
AB0263-C,ERR327230
AB0264-C,ERR320172
AB0264-C,ERR320184
AB0264-C,ERR327092
AB0265-C,ERR327103
AB0265-C,ERR338381
AB0265-C,ERR338393
AB0266-Cx,ERR495619
AB0266-Cx,ERR501892
AB0266-Cx,ERR501904
AB0267-C,ERR327002
AB0267-C,ERR327014
AB0267-C,ERR323752
AB0268-C,ERR323820
AB0268-C,ERR328537
AB0268-C,ERR328549
AB0269-Cx,ERR495809
AB0269-Cx,ERR502058
AB0269-Cx,ERR502154
AB0270-C,ERR338383
AB0270-C,ERR327105
AB0270-C,ERR338395
AB0271-Cx,ERR495816
AB0271-Cx,ERR502065
AB0271-Cx,ERR502161
AB0272-Cx,ERR495482
AB0272-Cx,ERR495494
AB0272-Cx,ERR491346
AB0273-Cx,ERR502162
AB0273-Cx,ERR495817
AB0273-Cx,ERR502066
AB0274-C,ERR323819
AB0274-C,ERR328536
AB0274-C,ERR328548
AB0275-C,ERR347034
AB0275-C,ERR347046
AB0275-C,ERR352135
AB0276-C,ERR323826
AB0276-C,ERR328543
AB0276-C,ERR328555
AB0277-C,ERR338400
AB0277-C,ERR327110
